,title,year,imdb_score
0,White Chicks,2004,5.7
1,Little Man,2006,4.4
2,Scary Movie,2000,6.2
3,Scary Movie 2,2001,5.3
4,Scary Movie 3,2003,5.5
5,The Hot Chick,2002,5.5
6,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,6.5
7,Norbit,2007,4.1
8,Big Momma's House,2000,5.2
10,Scary Movie 4,2006,5.1
11,Click,2006,6.4
12,Mean Girls,2004,7.1
13,Desu nôto,2006–2007,9.0
14,Shingeki no Kyojin,2013–2023,9.0
15,Hagane no renkinjutsushi,2009–2010,9.1
16,Wanpanman,2015–2019,8.7
17,Hunter x Hunter,2011–2014,9.0
18,Kimetsu no Yaiba,2019– ,8.7
19,Shippûden,2007–2017,8.7
20,Naruto,2002–2007,8.4
21,Jujutsu Kaisen,2020– ,8.6
22,Tokyo Ghoul,2014,7.8
23,Code Geass - Lelouch of the Rebellion,2006–2008,8.7
24,Steins;Gate,2011–2015,8.8
25,Death Note,2017,4.5
26,Luke Cage,2016–2018,7.3
27,Iron Fist,2017–2018,6.4
28,Jessica Jones,2015–2019,7.9
29,The Defenders,2017,7.2
30,The Punisher,2017–2019,8.5
31,Daredevil,2015–2018,8.6
32,Agent Carter,2015–2016,7.9
33,Agents of S.H.I.E.L.D.,2013–2020,7.5
34,Gotham,2014–2019,7.8
35,Arrow,2012–2020,7.5
36,The Falcon and the Winter Soldier,2021,7.2
38,Cloak & Dagger,2018–2019,6.6
39,The Do-Over,2016,5.7
40,Murder Mystery,2019,6.0
41,Sandy Wexler,2017,5.2
42,The Ridiculous 6,2015,4.8
43,That's My Boy,2012,5.5
44,Hubie Halloween,2020,5.2
45,Grown Ups 2,2013,5.3
46,Grown Ups,2010,5.9
47,The Week Of,2018,5.2
48,The Cobbler,2014,5.8
49,You Don't Mess with the Zohan,2008,5.6
50,I Now Pronounce You Chuck & Larry,2007,5.9
51,Blended,2014,6.5
52,Trollhunters,2016–2018,8.4
53,Tales of Arcadia,2018–2019,7.7
54,Wizards,2020,8.1
55,Rise of the Titans,2021,6.6
56,The Dragon Prince,2018– ,8.4
57,The Hollow,2018–2020,7.2
58,Carmen Sandiego,2019–2021,7.9
59,Race to the Edge,2015–2018,8.2
60,Legendary Defender,2016–2018,8.1
61,The Last Kids on Earth,2019– ,7.3
62,She-Ra and the Princesses of Power,2018–2020,7.9
63,Kipo and the Age of Wonderbeasts,2020,8.3
